Unit;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;%;%;%;%;%;%;;;Index;%;%;Index;;%;;%;%;;%;%
Series Id;CPI.Q.C.ia;CPI.Q.C.iaq;CPI.Q.C.iay;CPIT.Q.C.ia;CPIT.Q.C.iaq;CPIT.Q.C.iay;CPIN.Q.C.ia;CPIN.Q.C.iaq;CPIN.Q.C.iay;CPI.Q.C01.ia;CPI.Q.C01.iaq;CPI.Q.C01.iay;CPI.Q.C04.ia;CPI.Q.C04.iaq;CPI.Q.C04.iay;CPI.Q.C07.ia;CPI.Q.C07.iaq;CPI.Q.C07.iay;CPI.Q.C07202.ia;CPI.Q.C07202.iaq;CPI.Q.C07202.iay;CPI.Q.ZC21.ia;CPI.Q.ZC21.iaq;CPI.Q.ZC21.iay;CPI.Q.ZC40.iaq;CPIM.Q.C40T10B17.iay;CPI.Q.ZC41.iaq;CPIW.Q.C41P50B17.iay;CPI.Q.ZC42.iay;CPI.Q.ZC43.iay;CPI.Q.ZC431.iay;CPI.Q.ZC432.iay;HPI.Q.H01T0.ia;HPI.Q.H01T0.iaq;HPI.Q.H01T0.iay;GDE.Q.DY.RS;GDE.Q.DY.rsq;GDE.Q.DY.rsy;PPI06.Q.T0I1.ia;PPI06.Q.T0I1.iaq;PPI06.Q.T0I1.iay;PPI06.Q.T0I2.ia;PPI06.Q.T0I2.iaq;PPI06.Q.T0I2.iay
jun 1992;606;0,3;1,0;;;;;;;591;-0,1;-0,8;;;;;;;500;0,0;2,0;;;;;;;;1,4;;;;467;-0,1;-0,5;704;0,0;2,0;621;0,4;1,8;637;0,8;1,8
set 1992;609;0,3;1,0;;;;;;;601;1,7;0,4;;;;;;;511;2,2;3,5;;;;;;;;1,6;;;;470;0,6;0,4;699;-0,7;-0,3;625;0,7;2,4;642;0,7;2,7
dez 1992;610;0,3;1,3;;;;;;;603;0,3;1,7;;;;;;;523;2,3;2,9;;;;;;;;1,8;;;;477;1,5;2,4;712;1,9;2,0;631;0,8;2,7;646;0,8;3,0
mar 1993;611;0,1;1,0;;;;;;;608;0,9;2,7;;;;;;;519;-0,7;3,9;;;;;;;;1,8;;;;481;0,7;2,7;724;1,7;2,8;633;0,4;2,5;653;1,0;3,2
jun 1993;614;0,6;1,3;;;;;;;600;-1,4;1,4;;;;;;;513;-1,2;2,6;;;;;;;;1,8;;;;482;0,4;3,2;725;0,1;3,0;637;0,5;2,6;655;0,4;2,8
set 1993;618;0,5;1,5;;;;;;;604;0,8;0,5;;;;;;;496;-3,3;-2,9;;;;;;;;1,7;1,4;1,4;2,2;491;1,7;4,3;721;-0,6;3,1;642;0,8;2,7;662;1,0;3,1
dez 1993;619;0,2;1,4;;;;;;;602;-0,4;-0,2;;;;;;;487;-1,8;-6,8;;;;;;;;1,6;1,4;1,1;2,3;503;2,5;5,3;716;-0,7;0,6;645;0,4;2,2;664;0,3;2,7
mar 1994;619;0,0;1,3;;;;;;;604;0,3;-0,7;;;;;;;471;-3,2;-9,2;;;;;;;;1,6;1,3;0,8;2,4;520;3,4;8,2;718;0,3;-0,8;644;-0,1;1,7;665;0,2;1,9
jun 1994;621;0,4;1,1;;;;;;;598;-1,0;-0,4;;;;;;;472;0,2;-8,0;;;;;;;;1,5;1,4;0,4;2,6;536;3,1;11,2;720;0,3;-0,7;647;0,4;1,6;669;0,5;2,0
set 1994;628;1,2;1,8;;;;;;;600;0,4;-0,7;;;;;;;487;3,2;-1,7;;;;;;;;1,7;1,5;0,3;2,7;554;3,4;13,0;729;1,3;1,1;650;0,5;1,2;673;0,6;1,7
dez 1994;636;1,2;2,8;;;;;;;604;0,7;0,4;;;;;;;488;0,2;0,3;;;;;;;;1,9;1,7;0,4;2,9;572;3,2;13,7;738;1,2;3,1;651;0,1;0,9;676;0,5;1,9
mar 1995;643;1,2;4,0;;;;;;;608;0,7;0,8;;;;;;;485;-0,7;2,9;;;;;;;;2,3;2,0;0,5;3,2;579;1,3;11,4;737;-0,1;2,6;651;0,1;1,1;676;0,0;1,7
jun 1995;650;1,0;4,6;;;;;;;613;0,7;2,5;;;;;;;484;-0,1;2,6;;;;;;;;2,5;1,9;0,4;3,1;585;0,9;9,0;741;0,5;2,9;652;0,1;0,8;679;0,4;1,6
set 1995;651;0,2;3,5;;;;;;;605;-1,3;0,8;;;;;;;475;-2,0;-2,6;;;;;;;;2,2;1,8;0,3;3,0;599;2,5;8,1;745;0,5;2,2;654;0,3;0,6;681;0,3;1,2
